fecha_registro,id_planta,id_maquina,id_formula,numero_orden,corriente,temp_acond,presion_vapor,vapor,porcentaje_vapor,tiempo_proceso,retornando,humedad_real,durabilidad_real,kw_h_proceso
2026-02-21 02:00:05.830,001,301,3360,61984,309.929,52.606,6.763,-10,3,17,1,0,0.0,109.00839694656489
2026-02-21 02:01:05.850,001,301,3360,61984,299.012,52.937,6.843,-7,3,18,1,0,0.0,109.00839694656489
2026-02-21 02:02:05.863,001,301,3360,61984,326.353,53.284,6.843,-8,3,19,1,0,0.0,109.00839694656489
2026-02-21 02:03:05.873,001,301,3360,61984,328.659,53.604,6.763,-9,3,20,1,0,0.0,109.00839694656489
2026-02-24 03:48:53.983,002,304,3366,66136,139.781,57.57,27.574,1,28.797948073701843,0,0,0.0,26.37030618927973,158
2026-02-24 03:49:53.990,002,304,3366,66136,139.725,57.157,27.516,2,28.797948073701843,0,0,0.0,26.37030618927973,160
2026-02-24 03:50:53.997,002,304,3366,66136,138.263,57.244,27.587,2,28.797948073701843,0,0,0.0,26.37030618927973,161
2026-02-24 03:51:54.007,002,304,3366,66136,137.606,56.756,27.529,2,28.797948073701843,0,0,0.0,26.37030618927973,163
